;Sex;Age;WeightClassKg;BodyweightKg;TotalKg;Wilks
8361;M;62,0;"[83,80000305175781, 94,0)";90,8;540,0;343,2
8386;M;20,0;"[73,5999984741211, 83,80000305175781)";73,0;497,5;361,36
8474;F;45,5;"[53,20000076293945, 63,400001525878906)";61,15;342,5;376,29
8499;F;21,5;"[83,80000305175781, 94,0)";81,65;478,0;432,54
8542;M;26,5;"[114,4000015258789, 124,5999984741211)";105,2;800,0;477,72
9046;M;44,0;"[104,19999694824219, 114,4000015258789)";95,6;572,5;355,11
9538;F;34,0;"[83,80000305175781, 94,0)";83,1;475,0;425,89
9614;F;51,0;"[83,80000305175781, 94,0)";73,0;267,5;258,73
9632;M;52,0;"[63,400001525878906, 73,5999984741211)";65,5;405,0;320,01
9838;F;29,0;"[83,80000305175781, 94,0)";82,0;355,0;320,51
10554;M;22,0;"[104,19999694824219, 114,4000015258789)";98,8;675,0;412,81
10629;M;22,0;"[73,5999984741211, 83,80000305175781)";77,9;650,0;451,42
10630;M;29,0;"[73,5999984741211, 83,80000305175781)";72,9;700,0;508,95
10632;M;26,0;"[73,5999984741211, 83,80000305175781)";83,0;717,5;478,93
11508;M;16,0;"[73,5999984741211, 83,80000305175781)";67,9;385,0;295,45
12302;M;31,5;"[73,5999984741211, 83,80000305175781)";72,8;675,0;491,27
12307;M;22,0;"[83,80000305175781, 94,0)";91,3;740,0;469,03
12873;F;36,0;"[63,400001525878906, 73,5999984741211)";63,1;545,0;584,6
12998;M;38,0;"[104,19999694824219, 114,4000015258789)";96,9;510,0;314,47
13199;M;38,5;"[73,5999984741211, 83,80000305175781)";79,6;670,0;458,86
13238;M;56,5;"[114,4000015258789, 124,5999984741211)";109,4;440,0;259,37
13480;M;69,0;"[83,80000305175781, 94,0)";91,0;520,0;330,13
13489;M;51,0;"[73,5999984741211, 83,80000305175781)";82,5;520,0;348,35
14872;M;22,5;"[73,5999984741211, 83,80000305175781)";83,0;675,5;450,9
14887;F;18,0;"[43,0, 53,20000076293945)";51,1;280,0;353,78
15332;M;73,0;"[73,5999984741211, 83,80000305175781)";73,05;365,0;264,99
15363;M;63,0;"[73,5999984741211, 83,80000305175781)";72,95;477,5;347,01
15374;M;47,0;"[104,19999694824219, 114,4000015258789)";103,35;500,0;300,48
15408;M;37,0;"[73,5999984741211, 83,80000305175781)";71,65;550,0;405,0
15432;M;26,0;"[73,5999984741211, 83,80000305175781)";82,65;602,5;403,18
15465;M;37,0;"[104,19999694824219, 114,4000015258789)";100,4;700,0;425,34
16368;M;39,0;"[114,4000015258789, 124,5999984741211)";110,45;605,0;355,6
16516;F;17,0;"[43,0, 53,20000076293945)";51,8;276,0;345,1
16872;M;19,5;"[73,5999984741211, 83,80000305175781)";80,7;580,0;393,81
16893;M;53,0;"[83,80000305175781, 94,0)";90,5;525,0;334,22
16946;F;45,0;"[53,20000076293945, 63,400001525878906)";60,6;270,0;298,71
16948;F;28,0;"[63,400001525878906, 73,5999984741211)";71,85;372,5;364,08
17028;F;38,5;"[53,20000076293945, 63,400001525878906)";60,9;245,0;270,02
17066;M;15,0;"[83,80000305175781, 94,0)";86,4;445,0;290,3
17069;F;40,0;"[53,20000076293945, 63,400001525878906)";56,3;290,0;339,79
17123;M;19,0;"[83,80000305175781, 94,0)";92,75;610,0;383,69
17148;F;26,0;"[83,80000305175781, 94,0)";74,25;387,5;370,72
17177;M;20,5;"[73,5999984741211, 83,80000305175781)";83,0;575,0;383,81
17318;M;66,0;"[114,4000015258789, 124,5999984741211)";111,4;600,0;351,76
17849;M;29,0;"[104,19999694824219, 114,4000015258789)";93,25;625,0;392,12
18331;F;15,0;"[53,20000076293945, 63,400001525878906)";56,2;242,5;284,53
18982;M;72,5;"[73,5999984741211, 83,80000305175781)";81,95;505,0;339,67
19024;M;50,0;"[114,4000015258789, 124,5999984741211)";118,3;720,0;415,35
19052;M;36,0;"[83,80000305175781, 94,0)";92,2;830,0;523,56
19073;F;27,0;"[53,20000076293945, 63,400001525878906)";62,3;410,0;444,07
19770;M;37,0;"[73,5999984741211, 83,80000305175781)";70,3;510,0;380,94
19775;M;23,0;"[73,5999984741211, 83,80000305175781)";76,95;670,0;469,12
19896;M;58,0;"[114,4000015258789, 124,5999984741211)";117,85;505,0;291,59
20451;M;15,5;"[73,5999984741211, 83,80000305175781)";73,9;382,5;275,4
20513;F;22,5;"[53,20000076293945, 63,400001525878906)";62,7;352,5;379,94
20730;M;63,0;"[83,80000305175781, 94,0)";89,85;407,5;260,37
63994;F;35,0;"[73,5999984741211, 83,80000305175781)";82,5;297,1;267,38
64006;M;38,0;"[73,5999984741211, 83,80000305175781)";82,5;474,0;317,54
66541;M;34,0;"[83,80000305175781, 94,0)";84,82;587,4;387,18
66834;F;30,0;"[73,5999984741211, 83,80000305175781)";68,49;213,19;215,34
66848;M;38,0;"[73,5999984741211, 83,80000305175781)";80,29;485,34;330,59
66862;M;26,0;"[134,8000030517578, 145,0]";132,45;684,92;386,12
68189;F;60,0;"[83,80000305175781, 94,0)";84,37;294,84;262,35
68191;M;30,0;"[73,5999984741211, 83,80000305175781)";80,29;619,15;421,73
75791;F;40,5;"[43,0, 53,20000076293945)";52,0;360,0;448,79
75807;F;25,5;"[53,20000076293945, 63,400001525878906)";60,0;335,0;373,49
75864;M;22,5;"[53,20000076293945, 63,400001525878906)";60,0;600,0;511,72
75880;M;40,5;"[63,400001525878906, 73,5999984741211)";67,5;575,0;443,33
75930;M;32,5;"[104,19999694824219, 114,4000015258789)";110,0;915,0;538,47
75936;M;37,5;"[104,19999694824219, 114,4000015258789)";110,0;775,0;456,08
78223;M;29,0;"[63,400001525878906, 73,5999984741211)";67,5;585,0;451,04
84095;M;24,5;"[124,5999984741211, 134,8000030517578)";110,22;670,0;394,05
89739;M;19,5;"[53,20000076293945, 63,400001525878906)";55,9;465,0;424,05
89766;M;23,5;"[73,5999984741211, 83,80000305175781)";81,5;795,0;536,52
105256;M;27,5;"[83,80000305175781, 94,0)";89,8;790,0;504,9
107556;M;34,5;"[63,400001525878906, 73,5999984741211)";67,5;627,5;483,81
107576;M;28,0;"[83,80000305175781, 94,0)";90,0;832,5;531,46
107640;M;26,0;"[134,8000030517578, 145,0]";145,0;845,0;469,78
107985;M;23,5;"[83,80000305175781, 94,0)";90,0;710,0;453,26
115134;M;38,0;"[94,0, 104,19999694824219)";100,0;762,04;463,77
120621;F;35,5;"[53,20000076293945, 63,400001525878906)";58,5;387,0;440,04
126802;M;31,5;"[63,400001525878906, 73,5999984741211)";67,5;602,5;464,54
131054;F;32,5;"[83,80000305175781, 94,0)";90,0;567,5;490,36
135917;M;26,5;"[63,400001525878906, 73,5999984741211)";67,5;612,5;472,25
135937;M;26,0;"[73,5999984741211, 83,80000305175781)";82,5;765,0;512,48
135961;M;38,5;"[104,19999694824219, 114,4000015258789)";110,0;877,5;516,4
136494;M;21,5;"[53,20000076293945, 63,400001525878906)";56,0;485,0;441,52
146694;M;35,5;"[63,400001525878906, 73,5999984741211)";67,5;657,5;506,94
146714;M;32,5;"[83,80000305175781, 94,0)";90,0;762,5;486,78
146748;M;29,5;"[104,19999694824219, 114,4000015258789)";110,0;757,5;445,78
146769;M;32,0;"[134,8000030517578, 145,0]";145,0;945,0;525,38
153276;M;37,0;"[63,400001525878906, 73,5999984741211)";67,5;772,5;595,61
153278;M;34,5;"[63,400001525878906, 73,5999984741211)";67,5;640,0;493,45
153300;M;28,5;"[94,0, 104,19999694824219)";100,0;860,0;523,39
153313;M;28,0;"[104,19999694824219, 114,4000015258789)";110,0;772,5;454,61
153314;M;27,0;"[124,5999984741211, 134,8000030517578)";125,0;892,5;508,59
180601;M;34,0;"[73,5999984741211, 83,80000305175781)";74,7;702,5;501,98
180640;M;17,0;"[83,80000305175781, 94,0)";89,1;777,5;498,92
180662;M;26,0;"[104,19999694824219, 114,4000015258789)";109,2;895,0;527,89
180667;M;18,0;"[104,19999694824219, 114,4000015258789)";109,0;800,0;472,13
181943;M;17,5;"[63,400001525878906, 73,5999984741211)";67,5;617,5;476,1
181970;M;21,0;"[73,5999984741211, 83,80000305175781)";82,28;832,5;558,59
182880;M;23,5;"[53,20000076293945, 63,400001525878906)";59,2;575,0;496,49
182906;M;45,0;"[124,5999984741211, 134,8000030517578)";119,8;897,5;516,19
182926;M;63,5;"[63,400001525878906, 73,5999984741211)";66,5;537,5;419,44
183006;M;42,5;"[124,5999984741211, 134,8000030517578)";112,0;860,0;503,39
183360;M;35,0;"[73,5999984741211, 83,80000305175781)";72,8;511,0;371,91
184495;M;21,0;"[83,80000305175781, 94,0)";91,8;702,5;444,07
184552;M;27,0;"[104,19999694824219, 114,4000015258789)";105,7;732,5;436,7
184603;M;51,0;"[94,0, 104,19999694824219)";99,1;545,0;332,9
184700;M;23,5;"[73,5999984741211, 83,80000305175781)";82,6;877,5;587,42
184701;M;22,5;"[73,5999984741211, 83,80000305175781)";82,4;770,0;516,2
185611;M;41,0;"[94,0, 104,19999694824219)";97,5;590,0;362,84
185915;M;51,0;"[83,80000305175781, 94,0)";89,48;652,5;417,79
185926;M;22,0;"[94,0, 104,19999694824219)";96,02;660,0;408,58
186575;F;48,0;"[73,5999984741211, 83,80000305175781)";81,1;247,5;224,77
